iter	Passed	Remaining
1456	82078	139932
1457	82133	139874
1458	82195	139827
1459	82257	139780
1460	82311	139721
1461	82372	139672
1462	82435	139626
1463	82488	139566
1464	82539	139500
1465	82590	139434
1466	82646	139377
1467	82698	139315
1468	82748	139246
1469	82799	139181
1470	82853	139122
1471	82903	139054
1472	82954	138989
1473	83005	138925
1474	83055	138856
1475	83107	138793
1476	83156	138726
1477	83209	138663
1478	83261	138599
1479	83314	138538
1480	83366	138474
1481	83417	138410
1482	83470	138347
1483	83525	138290
1484	83578	138228
1485	83637	138176
1486	83687	138110
1487	83740	138048
1488	83794	137987
1489	83848	137928
1490	83901	137865
1491	83954	137804
1492	84006	137742
1493	84059	137679
1494	84108	137611
1495	84163	137553
1496	84217	137492
1497	84272	137435
1498	84327	137376
1499	84388	137328
1500	84448	137278
1501	84502	137218
1502	84555	137156
1503	84606	137092
1504	84662	137034
1505	84716	136974
1506	84764	136905
1507	84815	136841
1508	84871	136783
1509	84922	136719
1510	84972	136653
1511	85022	136587
1512	85074	136523
1513	85127	136462
1514	85180	136401
1515	85234	136341
1516	85288	136282
1517	85349	136232
1518	85397	136164
1519	85453	136106
1520	85501	136038
1521	85552	135972
1522	85604	135910
1523	85658	135851
1524	85708	135785
1525	85760	135722
1526	85814	135662
1527	85870	135605
1528	85920	135540
1529	85974	135480
1530	86029	135421
1531	86080	135357
1532	86132	135295
1533	86186	135234
1534	86232	135163
1535	86288	135107
1536	86339	135041
1537	86391	134978
1538	86442	134916
1539	86505	134869
1540	86568	134824
1541	86623	134767
1542	86680	134711
1543	86731	134647
1544	86782	134583
1545	86827	134509
1546	86879	134446
1547	86931	134383
1548	86988	134328
1549	87038	134264
1550	87092	134205
1551	87150	134151
1552	87202	134087
1553	87254	134025
1554	87304	133960
1555	87359	133902
1556	87408	133835
1557	87466	133782
1558	87526	133732
1559	87588	133685
1560	87642	133625
1561	87714	133593
1562	87774	133543
1563	87826	133480
1564	87877	133415
1565	87928	133353
1566	87978	133286
1567	88030	133224
1568	88083	133163
1569	88130	133093
1570	88183	133032
1571	88235	132971
1572	88296	132922
1573	88347	132858
1574	88403	132801
1575	88453	132735
1576	88504	132672
1577	88556	132610
1578	88607	132546
1579	88668	132497
1580	88729	132449
1581	88781	132386
1582	88830	132320
1583	88886	132262
1584	88939	132203
1585	88996	132148
1586	89048	132085
1587	89106	132031
1588	89169	131986
1589	89235	131944
1590	89295	131894
1591	89344	131827
1592	89398	131768
1593	89452	131709
1594	89503	131646
1595	89553	131580
1596	89605	131518
1597	89656	131454
1598	89709	131394
1599	89765	131338
1600	89826	131289
1601	89883	131234
1602	89939	131178
1603	89988	131111
1604	90044	131054
1605	90093	130989
1606	90147	130929
1607	90209	130881
1608	90271	130834
1609	90329	130781
1610	90395	130739
1611	90453	130686
1612	90561	130704
1613	90628	130663
1614	90682	130604
1615	90740	130551
1616	90799	130499
1617	90919	130535
1618	90998	130511
1619	91056	130458
1620	91112	130401
1621	91167	130343
1622	91231	130299
1623	91294	130252
1624	91360	130210
1625	91427	130168
